emoji,description,group,points,primary
🧏🏾‍♀️,"deaf woman: medium-dark skin tone",People & Body,1F9CF 1F3FE 200D 2640 FE0F,false
🧏🏿‍♀️,"deaf woman: dark skin tone",People & Body,1F9CF 1F3FF 200D 2640 FE0F,false
🙇,"person bowing",People & Body,1F647,true
🙇🏻,"person bowing: light skin tone",People & Body,1F647 1F3FB,false
🙇🏼,"person bowing: medium-light skin tone",People & Body,1F647 1F3FC,false
🙇🏽,"person bowing: medium skin tone",People & Body,1F647 1F3FD,false
🙇🏾,"person bowing: medium-dark skin tone",People & Body,1F647 1F3FE,false
🙇🏿,"person bowing: dark skin tone",People & Body,1F647 1F3FF,false
🙇‍♂️,"man bowing",People & Body,1F647 200D 2642 FE0F,false
🙇🏻‍♂️,"man bowing: light skin tone",People & Body,1F647 1F3FB 200D 2642 FE0F,false
🙇🏼‍♂️,"man bowing: medium-light skin tone",People & Body,1F647 1F3FC 200D 2642 FE0F,false
🙇🏽‍♂️,"man bowing: medium skin tone",People & Body,1F647 1F3FD 200D 2642 FE0F,false
🙇🏾‍♂️,"man bowing: medium-dark skin tone",People & Body,1F647 1F3FE 200D 2642 FE0F,false
🙇🏿‍♂️,"man bowing: dark skin tone",People & Body,1F647 1F3FF 200D 2642 FE0F,false
🙇‍♀️,"woman bowing",People & Body,1F647 200D 2640 FE0F,false
🙇🏻‍♀️,"woman bowing: light skin tone",People & Body,1F647 1F3FB 200D 2640 FE0F,false
🙇🏼‍♀️,"woman bowing: medium-light skin tone",People & Body,1F647 1F3FC 200D 2640 FE0F,false
🙇🏽‍♀️,"woman bowing: medium skin tone",People & Body,1F647 1F3FD 200D 2640 FE0F,false
🙇🏾‍♀️,"woman bowing: medium-dark skin tone",People & Body,1F647 1F3FE 200D 2640 FE0F,false
🙇🏿‍♀️,"woman bowing: dark skin tone",People & Body,1F647 1F3FF 200D 2640 FE0F,false
🤦,"person facepalming",People & Body,1F926,true
🤦🏻,"person facepalming: light skin tone",People & Body,1F926 1F3FB,false
🤦🏼,"person facepalming: medium-light skin tone",People & Body,1F926 1F3FC,false
🤦🏽,"person facepalming: medium skin tone",People & Body,1F926 1F3FD,false
🤦🏾,"person facepalming: medium-dark skin tone",People & Body,1F926 1F3FE,false
🤦🏿,"person facepalming: dark skin tone",People & Body,1F926 1F3FF,false
🤦‍♂️,"man facepalming",People & Body,1F926 200D 2642 FE0F,false
🤦🏻‍♂️,"man facepalming: light skin tone",People & Body,1F926 1F3FB 200D 2642 FE0F,false
🤦🏼‍♂️,"man facepalming: medium-light skin tone",People & Body,1F926 1F3FC 200D 2642 FE0F,false
🤦🏽‍♂️,"man facepalming: medium skin tone",People & Body,1F926 1F3FD 200D 2642 FE0F,false
🤦🏾‍♂️,"man facepalming: medium-dark skin tone",People & Body,1F926 1F3FE 200D 2642 FE0F,false
🤦🏿‍♂️,"man facepalming: dark skin tone",People & Body,1F926 1F3FF 200D 2642 FE0F,false
🤦‍♀️,"woman facepalming",People & Body,1F926 200D 2640 FE0F,false
🤦🏻‍♀️,"woman facepalming: light skin tone",People & Body,1F926 1F3FB 200D 2640 FE0F,false
🤦🏼‍♀️,"woman facepalming: medium-light skin tone",People & Body,1F926 1F3FC 200D 2640 FE0F,false
🤦🏽‍♀️,"woman facepalming: medium skin tone",People & Body,1F926 1F3FD 200D 2640 FE0F,false
🤦🏾‍♀️,"woman facepalming: medium-dark skin tone",People & Body,1F926 1F3FE 200D 2640 FE0F,false
🤦🏿‍♀️,"woman facepalming: dark skin tone",People & Body,1F926 1F3FF 200D 2640 FE0F,false
🤷,"person shrugging",People & Body,1F937,true
🤷🏻,"person shrugging: light skin tone",People & Body,1F937 1F3FB,false
🤷🏼,"person shrugging: medium-light skin tone",People & Body,1F937 1F3FC,false
🤷🏽,"person shrugging: medium skin tone",People & Body,1F937 1F3FD,false
🤷🏾,"person shrugging: medium-dark skin tone",People & Body,1F937 1F3FE,false
🤷🏿,"person shrugging: dark skin tone",People & Body,1F937 1F3FF,false
🤷‍♂️,"man shrugging",People & Body,1F937 200D 2642 FE0F,false
🤷🏻‍♂️,"man shrugging: light skin tone",People & Body,1F937 1F3FB 200D 2642 FE0F,false
🤷🏼‍♂️,"man shrugging: medium-light skin tone",People & Body,1F937 1F3FC 200D 2642 FE0F,false
🤷🏽‍♂️,"man shrugging: medium skin tone",People & Body,1F937 1F3FD 200D 2642 FE0F,false
🤷🏾‍♂️,"man shrugging: medium-dark skin tone",People & Body,1F937 1F3FE 200D 2642 FE0F,false
🤷🏿‍♂️,"man shrugging: dark skin tone",People & Body,1F937 1F3FF 200D 2642 FE0F,false
🤷‍♀️,"woman shrugging",People & Body,1F937 200D 2640 FE0F,false
🤷🏻‍♀️,"woman shrugging: light skin tone",People & Body,1F937 1F3FB 200D 2640 FE0F,false
🤷🏼‍♀️,"woman shrugging: medium-light skin tone",People & Body,1F937 1F3FC 200D 2640 FE0F,false
🤷🏽‍♀️,"woman shrugging: medium skin tone",People & Body,1F937 1F3FD 200D 2640 FE0F,false
🤷🏾‍♀️,"woman shrugging: medium-dark skin tone",People & Body,1F937 1F3FE 200D 2640 FE0F,false
🤷🏿‍♀️,"woman shrugging: dark skin tone",People & Body,1F937 1F3FF 200D 2640 FE0F,false
🧑‍⚕️,"health worker",People & Body,1F9D1 200D 2695 FE0F,false
🧑🏻‍⚕️,"health worker: light skin tone",People & Body,1F9D1 1F3FB 200D 2695 FE0F,false
🧑🏼‍⚕️,"health worker: medium-light skin tone",People & Body,1F9D1 1F3FC 200D 2695 FE0F,false
🧑🏽‍⚕️,"health worker: medium skin tone",People & Body,1F9D1 1F3FD 200D 2695 FE0F,false
🧑🏾‍⚕️,"health worker: medium-dark skin tone",People & Body,1F9D1 1F3FE 200D 2695 FE0F,false
🧑🏿‍⚕️,"health worker: dark skin tone",People & Body,1F9D1 1F3FF 200D 2695 FE0F,false
👨‍⚕️,"man health worker",People & Body,1F468 200D 2695 FE0F,false
👨🏻‍⚕️,"man health worker: light skin tone",People & Body,1F468 1F3FB 200D 2695 FE0F,false
👨🏼‍⚕️,"man health worker: medium-light skin tone",People & Body,1F468 1F3FC 200D 2695 FE0F,false
👨🏽‍⚕️,"man health worker: medium skin tone",People & Body,1F468 1F3FD 200D 2695 FE0F,false
👨🏾‍⚕️,"man health worker: medium-dark skin tone",People & Body,1F468 1F3FE 200D 2695 FE0F,false
👨🏿‍⚕️,"man health worker: dark skin tone",People & Body,1F468 1F3FF 200D 2695 FE0F,false
👩‍⚕️,"woman health worker",People & Body,1F469 200D 2695 FE0F,false
👩🏻‍⚕️,"woman health worker: light skin tone",People & Body,1F469 1F3FB 200D 2695 FE0F,false
👩🏼‍⚕️,"woman health worker: medium-light skin tone",People & Body,1F469 1F3FC 200D 2695 FE0F,false
👩🏽‍⚕️,"woman health worker: medium skin tone",People & Body,1F469 1F3FD 200D 2695 FE0F,false
👩🏾‍⚕️,"woman health worker: medium-dark skin tone",People & Body,1F469 1F3FE 200D 2695 FE0F,false
👩🏿‍⚕️,"woman health worker: dark skin tone",People & Body,1F469 1F3FF 200D 2695 FE0F,false
🧑‍🎓,"student",People & Body,1F9D1 200D 1F393,false
🧑🏻‍🎓,"student: light skin tone",People & Body,1F9D1 1F3FB 200D 1F393,false
🧑🏼‍🎓,"student: medium-light skin tone",People & Body,1F9D1 1F3FC 200D 1F393,false
🧑🏽‍🎓,"student: medium skin tone",People & Body,1F9D1 1F3FD 200D 1F393,false
🧑🏾‍🎓,"student: medium-dark skin tone",People & Body,1F9D1 1F3FE 200D 1F393,false
🧑🏿‍🎓,"student: dark skin tone",People & Body,1F9D1 1F3FF 200D 1F393,false
👨‍🎓,"man student",People & Body,1F468 200D 1F393,false
👨🏻‍🎓,"man student: light skin tone",People & Body,1F468 1F3FB 200D 1F393,false
👨🏼‍🎓,"man student: medium-light skin tone",People & Body,1F468 1F3FC 200D 1F393,false
👨🏽‍🎓,"man student: medium skin tone",People & Body,1F468 1F3FD 200D 1F393,false
👨🏾‍🎓,"man student: medium-dark skin tone",People & Body,1F468 1F3FE 200D 1F393,false
👨🏿‍🎓,"man student: dark skin tone",People & Body,1F468 1F3FF 200D 1F393,false
👩‍🎓,"woman student",People & Body,1F469 200D 1F393,false
👩🏻‍🎓,"woman student: light skin tone",People & Body,1F469 1F3FB 200D 1F393,false
